as_of_date,ticker,company,review_status,research_recommendation,decision_boundary,financial_evidence,risk_evidence,source_1,source_2
2026-07-11,06110.HK,TOPSPORTS,completed,continue_tracking,research_only_no_buy_approval,"FY2025/26 revenue RMB25.740bn -4.7%; attributable profit RMB1.267bn -1.5%; operating cash flow RMB2.728bn; net cash RMB1.175bn","Store count -13.1%; selling area -9.7%; weak discretionary demand; dividend payout 137.1% is above current-year earnings",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0624/2026062400677.pdf,https://www.guandian.cn/m/show/563638
2026-07-11,09698.HK,GDS-SW,completed,continue_tracking,research_only_no_buy_approval,"FY2025 revenue RMB11.432bn +10.8%; continuing-operation income attributable to shareholders RMB0.950bn versus RMB0.777bn loss; ordinary-shareholder income RMB0.895bn","Two customers contributed 29.0% and 12.0% of revenue; long-lived asset impairment RMB1.561bn; capital intensity and leverage remain material",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042905108.pdf,https://www.aastocks.com/sc/%28Z%28%40%4078bfg2689%D0%A0%D2%9D%D0%A0%D2%AF%D0%A0%C2%ACs1%D0%A0%D2%9D%D0%A1%E2%80%9D%D0%B2%D2%96%D1%9Es2%D0%92%C2%A0%D0%A0%D2%AEs3%D0%92%C2%A0%D0%A1%E2%80%9Dhjl2689%3Dacx%7B%7B%7Bthis%7D%7D%7Dxca%29%29/mobile/News.aspx?NewsID=NOW.1509910&NewsSource=HK6&NewsType=
2026-07-11,02367.HK,GIANT BIOGENE,completed,downgrade_to_watchlist,research_only_no_buy_approval,"FY2025 revenue RMB5.519bn -0.4%; attributable profit RMB1.915bn -7.2%; operating cash flow RMB1.781bn -12.8%; cash RMB6.306bn and no outstanding borrowings","Gross profit -2.5%; selling expense +2.4%; earnings and operating cash flow weakened despite a debt-free balance sheet",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042904378.pdf,https://www.aastocks.com/sc/stocks/news/aafn-news/NOW.1510661/2
2026-07-11,00512.HK,GRAND PHARMA,completed,downgrade_to_watchlist,research_only_no_buy_approval,"FY2025 revenue approximately HKD12.283bn +5.5%; attributable profit HKD1.241bn -49.7%; operating cash flow HKD1.650bn -13.1%","Bank loans HKD4.669bn; net-debt/equity increased to 21.1% from 18.8%; current ratio fell to 1.14; profit contraction requires reconciliation before priority research",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042904316.pdf,https://www.aastocks.com/sc/stocks/news/aafn-con/NOW.1513020/latest-news/AAFN
2026-07-11,00288.HK,WH GROUP,completed,downgrade_to_watchlist,research_only_no_buy_approval,"FY2025 revenue USD28.026bn +8.0%; attributable profit before biological fair-value adjustments USD1.591bn +8.2%; reported attributable profit USD1.567bn -2.8%; operating cash flow USD2.526bn broadly flat","Reported and adjusted profit directions differ; June 2026 antibiotic-residue incident at a subsidiary creates a post-report food-safety review requirement",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0415/2026041501042.pdf,https://www.aastocks.com/sc/stocks/quote/detail-quote.aspx?symbol=00288
2026-07-18,02580.HK,AUX ELECTRIC,completed,downgrade_to_watchlist,research_only_no_buy_approval,"FY2025 revenue RMB30.049bn +1.0%; profit for the year RMB2.235bn -23.2%; operating cash flow RMB2.887bn; cash and bank balances RMB6.879bn versus bank borrowings RMB1.463bn","Overall gross margin fell to 18.8% from 21.0%; household air-conditioner margin fell to 16.0% from 19.2%; management cited intensified competition, higher raw-material prices and elevated regional inventory; selling expense rose 25.5%",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801933.pdf,https://stockanalysis.com/quote/hkg/2580/financials/
2026-07-18,03933.HK,UNITED LAB,completed,continue_tracking,research_only_no_buy_approval,"FY2025 revenue RMB13.211bn -4.0%; attributable profit RMB2.086bn -21.6%; operating cash flow RMB3.750bn; net bank balances and cash after borrowings and supplier-finance payables RMB4.027bn","Intermediate-product and bulk-medicine segment profit fell on lower market prices; finished-product segment profit benefited materially from one-time UBT251 licence income; purchase of property plant and equipment rose to RMB2.727bn; pipeline and milestone receipts remain execution-dependent",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042900547.pdf,https://finance.eastmoney.com/a/202603253683502452.html
2026-07-18,688111.SH,KINGSOFT OFFICE,completed,defer_until_better_entry,research_only_no_buy_approval,"FY2025 revenue RMB5.929bn +15.8%; attributable profit RMB1.836bn +11.6%; adjusted attributable profit RMB1.803bn +15.8%; operating cash flow RMB2.502bn +13.9%","Fundamentals and cash conversion remain positive, but the current queue flags low valuation confidence and weak trend; high valuation sensitivity requires a wider margin of safety",https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688111&id=10918203,https://finance.sina.com.cn/stock/relnews/cn/2026-03-20/doc-inhrtixt4697114.shtml
2026-07-18,00168.HK,TSINGTAO BREW,completed,continue_tracking,research_only_no_buy_approval,"FY2025 revenue RMB32.473bn +1.0%; attributable profit RMB4.588bn +5.6%; adjusted attributable profit RMB4.130bn +4.5%; operating cash flow RMB4.593bn -10.9%","Annual revenue remained positive despite the queue's negative-growth label; operating cash flow declined and fourth-quarter revenue fell 2.3% with a larger attributable loss, so demand and cash conversion still require monitoring",https://www.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702944.pdf,https://finance.eastmoney.com/a/202603263685780141.html
2026-07-18,00013.HK,HUTCHMED,completed,downgrade_to_watchlist,research_only_no_buy_approval,"FY2025 revenue USD548.5m -13.0%; Oncology and Immunology revenue USD285.5m -21.4%; attributable net income USD456.9m; cash and short-term investments USD1.367bn versus bank borrowings USD93.2m","USD415.8m of net income came from the SHPL partial-divestment gain; core revenue declined despite FRUZAQLA ex-China in-market sales growth, and valuation confidence remains low",https://www.sec.gov/Archives/edgar/data/1648257/000110465926023822/hcm-20251231x20f.htm,https://www.hutch-med.com/2025-full-year-results/
